,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,5,11,9,12,14,4,1,10,6,13,4,4,1,8,3,8,4,4,1,7,3,7,4,4,1,7,3,7,4,4,11,12,3,8,4,4,12,8,3,10,6,5,7,7,3,10,11,5
1,12,2,2,7,15,4,7,2,2,7,4,4,7,2,2,10,5,6,9,5,11,9,6,11,5,11,9,6,6,9,3,10,5,5,6,5,6,13,5,6,6,6,6,13,6,6,5,11
2,4,8,15,8,10,13,6,9,4,8,8,10,1,1,1,7,8,8,1,1,1,7,8,8,5,5,5,12,7,10,11,11,6,12,7,8,13,9,11,9,12,10,7,2,8,4,8,8
3,6,11,12,7,10,12,0,8,7,10,13,12,11,12,10,13,9,12,8,10,9,9,11,13,9,13,11,6,13,13,6,12,10,11,9,12,15,8,7,7,3,8,4,7,8,8,3,8
4,15,8,10,12,3,10,4,8,7,7,3,10,4,8,10,9,5,12,4,10,9,5,11,13,4,10,11,6,12,7,5,9,12,1,7,8,2,2,7,1,10,13,11,11,13,6,13,13
5,14,7,1,1,1,1,4,7,1,1,1,1,4,7,1,1,1,1,4,7,1,1,1,1,4,7,1,1,1,1,4,10,6,11,11,11,11,12,3,8,8,10,7,10,6,12,7,8
6,6,13,12,14,8,1,5,9,12,4,8,1,11,5,13,4,7,1,10,11,13,11,9,6,10,12,8,7,0,0,8,8,8,8,0,0,10,12,8,8,0,0,7,10,13,9,5,5
7,8,14,4,10,9,11,12,4,4,10,11,13,7,4,4,7,10,9,8,4,4,10,9,11,9,11,5,9,11,12,4,8,1,1,8,7,4,10,11,6,13,13,5,9,9,5,13,13
8,0,0,10,6,13,11,6,5,12,4,7,8,3,3,7,15,8,10,3,3,7,4,8,8,5,11,12,4,7,10,6,13,12,4,8,7,1,8,8,4,7,8,11,13,9,11,9,9
9,2,7,2,8,3,7,5,13,6,9,11,9,1,10,5,5,12,4,1,10,5,6,12,4,1,7,14,4,7,4,5,13,4,4,10,6,6,13,4,4,8,4,1,8,4,4,7,4
10,11,11,11,5,5,11,13,9,12,1,1,8,13,6,13,5,11,12,12,2,10,6,12,10,9,5,12,4,10,13,2,2,8,14,7,8,2,2,10,4,10,12,2,2,8,4,7,10
11,4,4,4,7,14,7,5,11,6,13,4,10,0,10,5,12,4,7,11,13,6,9,6,12,7,7,2,2,2,10,10,9,6,11,5,13,12,0,0,10,6,9,10,5,6,13,11,6
12,1,8,3,3,3,3,11,9,5,5,5,11,9,11,6,6,6,9,3,8,1,1,1,1,11,12,1,1,1,1,10,13,11,11,11,6,13,13,9,12,8,3,12,7,0,8,8,3
13,8,3,3,7,10,12,13,5,11,12,10,9,8,15,7,7,8,2,9,4,10,9,9,6,0,0,8,2,2,2,0,0,8,2,2,2,5,5,12,2,2,2,6,6,12,2,2,2
14,11,13,11,13,5,9,7,10,13,9,11,5,12,8,8,14,8,1,9,12,7,4,7,1,1,8,8,4,7,1,1,8,10,5,13,6,1,7,10,6,13,6,6,9,13,5,12,3
